Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Alberta (00048)   20000,  Male,        Malecite,0,0,0,0,0
Alberta (00048)   20000,  Male,        Micmac,0,0,0,0,0
Alberta (00048)   20000,  Male,        Montagnais-Naskapi,0,0,0,0,0
Alberta (00048)   20000,  Male,        Ojibway,260,245,0,0,10
Alberta (00048)   20000,  Male,        Oji-Cree,-,-,-,-,-
Alberta (00048)   20000,  Male,"        Algonquian languages, n.i.e.",15,15,0,0,0
Alberta (00048)   20000,  Male,      Athapaskan languages,1025,950,0,20,60
Alberta (00048)   20000,  Male,        Carrier,0,0,0,0,0
Alberta (00048)   20000,  Male,        Chilcotin,10,10,0,0,0
Alberta (00048)   20000,  Male,        Chipewyan,380,360,0,10,10
Alberta (00048)   20000,  Male,        Dene,-,-,-,-,-
Alberta (00048)   20000,  Male,        Dogrib,10,10,0,0,0
Alberta (00048)   20000,  Male,        Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Alberta (00048)   20000,  Male,        North Slave (Hare),0,0,0,0,0
Alberta (00048)   20000,  Male,        South Slave,460,405,0,0,50
Alberta (00048)   20000,  Male,"        Athapaskan languages, n.i.e.",170,160,0,0,0
Alberta (00048)   20000,  Male,      Haida,0,0,0,0,0
Alberta (00048)   20000,  Male,      Iroquoian languages,0,0,0,0,0
Alberta (00048)   20000,  Male,        Mohawk,0,0,0,0,0
Alberta (00048)   20000,  Male,"        Iroquoian languages, n.i.e.",0,0,0,0,0
Alberta (00048)   20000,  Male,      Kutenai,0,0,0,0,0
Alberta (00048)   20000,  Male,      Salish languages,0,0,0,0,0
Alberta (00048)   20000,  Male,        Shuswap,-,-,-,-,-
Alberta (00048)   20000,  Male,        Thompson (Ntlakapamux),-,-,-,-,-
Alberta (00048)   20000,  Male,"        Salish languages, n.i.e.",0,0,0,0,0
Alberta (00048)   20000,  Male,      Siouan languages,1250,1175,0,10,70
Alberta (00048)   20000,  Male,        Dakota/Sioux,1250,1175,0,10,70
Alberta (00048)   20000,  Male,      Tlingit,0,0,0,0,0
Alberta (00048)   20000,  Male,      Tsimshian languages,0,0,0,0,0
Alberta (00048)   20000,  Male,        Tsimshian,0,0,0,0,0
Alberta (00048)   20000,  Male,        Gitksan,-,-,-,-,-
Alberta (00048)   20000,  Male,        Nishga,-,-,-,-,-
Alberta (00048)   20000,  Male,      Wakashan languages,0,0,0,0,0
Alberta (00048)   20000,  Male,        Nootka,-,-,-,-,-
Alberta (00048)   20000,  Male,"        Wakashan languages, n.i.e.",0,0,0,0,0
Alberta (00048)   20000,  Male,      Inuktitut (Eskimo),45,50,0,0,0
Alberta (00048)   20000,  Male,"      Aboriginal languages, n.i.e.",35,30,0,0,0
Alberta (00048)   20000,  Male,    Romance languages,19390,16480,15,1575,1315
Alberta (00048)   20000,  Male,      Italian,7760,6795,0,715,245
Alberta (00048)   20000,  Male,      Portuguese,2855,2360,0,235,245
Alberta (00048)   20000,  Male,      Romanian,855,745,0,85,20
Alberta (00048)   20000,  Male,      Spanish,7890,6570,0,515,805
Alberta (00048)   20000,  Male,"      Romance languages, n.i.e.",35,15,0,20,0
