Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Canada (00000)   20000,Total - Sex,  English and non-official language,186815,168935,215,15315,2345
Canada (00000)   20000,Total - Sex,  French and non-official language,22550,1735,9830,10565,425
Canada (00000)   20000,Total - Sex,"  English, French and non-official language",5925,855,195,4825,50
Canada (00000)   20000,  Male,Total - Detailed Mother Tongue,13337675,9045480,1908545,2230265,153385
Canada (00000)   20000,  Male,Single responses,13183735,8952695,1902110,2176950,151980
Canada (00000)   20000,  Male,  English,8000855,7381520,3350,613035,2955
Canada (00000)   20000,  Male,  French,3180395,17060,1836590,1326130,615
Canada (00000)   20000,  Male,  Non-official languages,2002480,1554120,62170,237780,148410
Canada (00000)   20000,  Male,    Aboriginal languages,85090,67935,4550,2010,10590
Canada (00000)   20000,  Male,      Algonquian languages,58210,46235,4230,1690,6050
Canada (00000)   20000,  Male,        Algonquin,-,-,-,-,-
Canada (00000)   20000,  Male,        Attikamek,-,-,-,-,-
Canada (00000)   20000,  Male,        Blackfoot,1665,1650,0,0,15
Canada (00000)   20000,  Male,        Cree,36355,29910,1540,1085,3825
Canada (00000)   20000,  Male,        Malecite,155,155,0,0,0
Canada (00000)   20000,  Male,        Micmac,3000,2760,0,130,115
Canada (00000)   20000,  Male,        Montagnais-Naskapi,3570,390,2350,140,685
Canada (00000)   20000,  Male,        Ojibway,10685,9655,0,80,955
Canada (00000)   20000,  Male,        Oji-Cree,-,-,-,-,-
Canada (00000)   20000,  Male,"        Algonquian languages, n.i.e.",2770,1720,340,255,450
Canada (00000)   20000,  Male,      Athapaskan languages,8810,7760,0,65,985
Canada (00000)   20000,  Male,        Carrier,835,820,0,0,10
Canada (00000)   20000,  Male,        Chilcotin,435,430,0,0,10
Canada (00000)   20000,  Male,        Chipewyan,1120,1045,0,25,50
Canada (00000)   20000,  Male,        Dene,-,-,-,-,-
Canada (00000)   20000,  Male,        Dogrib,1090,925,0,0,165
Canada (00000)   20000,  Male,        Kutchin-Gwich'in (Loucheux),185,180,0,0,0
Canada (00000)   20000,  Male,        North Slave (Hare),10,10,0,0,0
Canada (00000)   20000,  Male,        South Slave,1675,1485,0,25,165
Canada (00000)   20000,  Male,"        Athapaskan languages, n.i.e.",3455,2860,0,10,590
Canada (00000)   20000,  Male,      Haida,45,45,0,0,0
Canada (00000)   20000,  Male,      Iroquoian languages,170,150,0,20,0
Canada (00000)   20000,  Male,        Mohawk,105,90,0,20,0
Canada (00000)   20000,  Male,"        Iroquoian languages, n.i.e.",60,55,0,0,0
Canada (00000)   20000,  Male,      Kutenai,80,75,0,0,0
Canada (00000)   20000,  Male,      Salish languages,1175,1155,0,15,0
Canada (00000)   20000,  Male,        Shuswap,-,-,-,-,-
Canada (00000)   20000,  Male,        Thompson (Ntlakapamux),-,-,-,-,-
Canada (00000)   20000,  Male,"        Salish languages, n.i.e.",1175,1160,0,10,0
Canada (00000)   20000,  Male,      Siouan languages,1735,1655,0,10,70
Canada (00000)   20000,  Male,        Dakota/Sioux,1740,1655,0,10,70
Canada (00000)   20000,  Male,      Tlingit,40,40,0,0,0
Canada (00000)   20000,  Male,      Tsimshian languages,175,170,0,0,0
Canada (00000)   20000,  Male,        Tsimshian,175,170,0,0,0
Canada (00000)   20000,  Male,        Gitksan,-,-,-,-,-
Canada (00000)   20000,  Male,        Nishga,-,-,-,-,-
Canada (00000)   20000,  Male,      Wakashan languages,1530,1515,0,10,10
Canada (00000)   20000,  Male,        Nootka,-,-,-,-,-
Canada (00000)   20000,  Male,"        Wakashan languages, n.i.e.",1530,1515,0,0,10
Canada (00000)   20000,  Male,      Inuktitut (Eskimo),12160,8235,305,165,3455
Canada (00000)   20000,  Male,"      Aboriginal languages, n.i.e.",965,895,15,35,15
Canada (00000)   20000,  Male,    Romance languages,470370,301500,29870,94600,44395
Canada (00000)   20000,  Male,      Italian,263150,172120,12075,61105,17845
Canada (00000)   20000,  Male,      Portuguese,106275,70720,6570,13285,15700
Canada (00000)   20000,  Male,      Romanian,11400,6405,815,3715,470
Canada (00000)   20000,  Male,      Spanish,89270,52140,10400,16355,10380
Canada (00000)   20000,  Male,"      Romance languages, n.i.e.",265,115,15,140,0
Canada (00000)   20000,  Male,    Germanic languages,337090,305060,785,26625,4610
Canada (00000)   20000,  Male,      German,224520,205005,570,15135,3810
Canada (00000)   20000,  Male,      Yiddish,12000,8800,20,2695,480
Canada (00000)   20000,  Male,      Netherlandic languages,74990,67220,165,7360,245
Canada (00000)   20000,  Male,        Dutch,69715,63265,50,6165,245
Canada (00000)   20000,  Male,        Flemish,3850,2605,110,1130,0
Canada (00000)   20000,  Male,        Frisian,1425,1355,0,65,0
Canada (00000)   20000,  Male,      Scandinavian languages,24735,23400,0,1270,70
Canada (00000)   20000,  Male,        Danish,11510,10930,0,550,35
Canada (00000)   20000,  Male,        Icelandic,1370,1335,0,40,0
Canada (00000)   20000,  Male,        Norwegian,6665,6380,0,265,15
Canada (00000)   20000,  Male,        Swedish,5185,4755,0,415,20
