Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Manitoba (00046)   20000,Total - Sex,      Turkish,130,115,0,0,10
Manitoba (00046)   20000,Total - Sex,"      Turkic languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,    Semitic languages,1555,1350,0,165,45
Manitoba (00046)   20000,Total - Sex,      Amharic,-,-,-,-,-
Manitoba (00046)   20000,Total - Sex,      Arabic,565,415,0,140,10
Manitoba (00046)   20000,Total - Sex,      Hebrew,215,205,0,0,10
Manitoba (00046)   20000,Total - Sex,      Maltese,45,45,0,0,0
Manitoba (00046)   20000,Total - Sex,      Somali,-,-,-,-,-
Manitoba (00046)   20000,Total - Sex,      Tingringa,-,-,-,-,-
Manitoba (00046)   20000,Total - Sex,"      Semitic languages, n.i.e.",730,680,0,20,30
Manitoba (00046)   20000,Total - Sex,    Indo-Iranian languages,6085,5160,0,290,635
Manitoba (00046)   20000,Total - Sex,      Bengali,100,85,0,0,20
Manitoba (00046)   20000,Total - Sex,      Gujarati,590,500,0,60,35
Manitoba (00046)   20000,Total - Sex,      Hindi,560,520,0,20,15
Manitoba (00046)   20000,Total - Sex,      Konkani,-,-,-,-,-
Manitoba (00046)   20000,Total - Sex,      Kurdish,100,55,0,0,45
Manitoba (00046)   20000,Total - Sex,      Marathi,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,      Pashto,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,      Persian (Farsi),635,530,0,25,75
Manitoba (00046)   20000,Total - Sex,      Punjabi,3265,2725,0,125,410
Manitoba (00046)   20000,Total - Sex,      Sindhi,-,-,-,-,-
Manitoba (00046)   20000,Total - Sex,      Sinhalese,165,165,0,0,10
Manitoba (00046)   20000,Total - Sex,      Urdu,590,510,0,50,25
Manitoba (00046)   20000,Total - Sex,"      Indo-Iranian languages, n.i.e.",75,70,0,0,0
Manitoba (00046)   20000,Total - Sex,    Dravidian languages,525,515,0,10,0
Manitoba (00046)   20000,Total - Sex,      Kannada,-,-,-,-,-
Manitoba (00046)   20000,Total - Sex,      Malayalam,95,90,0,10,0
Manitoba (00046)   20000,Total - Sex,      Tamil,325,315,0,0,0
Manitoba (00046)   20000,Total - Sex,      Telugu,50,50,0,0,0
Manitoba (00046)   20000,Total - Sex,"      Dravidian languages, n.i.e.",55,50,0,0,0
Manitoba (00046)   20000,Total - Sex,    Japanese,435,415,0,0,15
Manitoba (00046)   20000,Total - Sex,    Korean,775,570,0,0,200
Manitoba (00046)   20000,Total - Sex,    Sino-Tibetan languages,9850,7695,0,270,1885
Manitoba (00046)   20000,Total - Sex,      Chinese,9825,7675,0,265,1880
Manitoba (00046)   20000,Total - Sex,"      Sino-Tibetan languages, n.i.e.",25,20,0,0,0
Manitoba (00046)   20000,Total - Sex,    Tai languages,930,695,0,75,165
Manitoba (00046)   20000,Total - Sex,      Lao,920,675,0,75,165
Manitoba (00046)   20000,Total - Sex,      Thai,15,10,0,0,0
Manitoba (00046)   20000,Total - Sex,    Austro-Asiatic languages,3270,2505,10,95,665
Manitoba (00046)   20000,Total - Sex,      Khmer (Cambodian),415,335,10,10,70
Manitoba (00046)   20000,Total - Sex,      Vietnamese,2855,2170,0,90,590
Manitoba (00046)   20000,Total - Sex,"      Austro-Asiatic languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,    Malayo-Polynesian languages,14540,13885,0,170,490
Manitoba (00046)   20000,Total - Sex,      Malay-Bahasa,155,155,0,0,0
Manitoba (00046)   20000,Total - Sex,      Tagalog (Pilipino),13865,13245,0,165,460
Manitoba (00046)   20000,Total - Sex,"      Malayo-Polynesian languages, n.i.e.",525,485,0,10,30
Manitoba (00046)   20000,Total - Sex,"    Asiatic languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,    Niger-Congo languages,305,285,0,10,10
Manitoba (00046)   20000,Total - Sex,      Bantu languages,180,170,0,10,0
