GEO_NAME,GEO_CODE (POR),DIM: Sex (3),DIM: Mother tongue (269),Dim: Knowledge of official languages (5): Member ID: [1]: Total - Knowledge of official languages,Dim: Knowledge of official languages (5): Member ID: [2]: English only,Dim: Knowledge of official languages (5): Member ID: [3]: French only,Dim: Knowledge of official languages (5): Member ID: [4]: English and French,Dim: Knowledge of official languages (5): Member ID: [5]: Neither English nor French
Canada,1,Total - Sex,Lithuanian,7075,5960,15,1000,100
Canada,1,Total - Sex,Slavic languages,689450,566885,12715,79150,30695
Canada,1,Total - Sex,Belarusan,805,615,15,125,60
Canada,1,Total - Sex,Bosnian,12215,9650,775,1180,600
Canada,1,Total - Sex,Bulgarian,20025,11460,1470,6395,695
Canada,1,Total - Sex,Croatian,48200,43190,295,3580,1140
Canada,1,Total - Sex,Czech,22295,19160,125,2650,355
Canada,1,Total - Sex,Macedonian,16770,15270,25,770,710
Canada,1,Total - Sex,Polish,181710,154065,1470,19470,6700
Canada,1,Total - Sex,Russian,188255,141715,6290,26680,13565
Canada,1,Total - Sex,Serbian,57350,47985,695,6010,2665
Canada,1,Total - Sex,Serbo-Croatian,9550,6965,600,1665,315
Canada,1,Total - Sex,Slovak,17585,15065,85,1690,740
Canada,1,Total - Sex,Slovene (Slovenian),9785,8765,20,930,70
Canada,1,Total - Sex,Ukrainian,102480,90845,820,7795,3030
Canada,1,Total - Sex,"Slavic languages, n.i.e.",2420,2130,35,200,60
Canada,1,Total - Sex,Celtic languages,2690,2250,40,380,20
Canada,1,Total - Sex,Scottish Gaelic,1090,925,5,150,15
Canada,1,Total - Sex,Welsh,1075,955,5,110,5
Canada,1,Total - Sex,"Celtic languages, n.i.e.",530,365,35,125,5
Canada,1,Total - Sex,Germanic languages,538765,479190,1335,44125,14110
Canada,1,Total - Sex,Afrikaans,10265,9760,10,430,70
Canada,1,Total - Sex,Danish,12635,11770,5,840,20
Canada,1,Total - Sex,Dutch,99015,89650,130,8870,375
Canada,1,Total - Sex,Frisian,2095,1985,0,110,5
Canada,1,Total - Sex,German,384035,343850,1020,27310,11860
Canada,1,Total - Sex,Icelandic,1285,1180,0,100,10
Canada,1,Total - Sex,Norwegian,4615,4215,5,385,5
Canada,1,Total - Sex,Swedish,6840,5795,20,1005,20
Canada,1,Total - Sex,Vlaams (Flemish),3895,2555,95,1230,5
Canada,1,Total - Sex,Yiddish,13555,8215,25,3585,1730
Canada,1,Total - Sex,"Germanic languages, n.i.e.",525,220,35,265,10
Canada,1,Total - Sex,Greek,106525,71965,540,27400,6620
Canada,1,Total - Sex,Indo-Iranian languages,1312750,1108315,6255,74030,124155
Canada,1,Total - Sex,Indo-Aryan languages,1064765,911330,1900,46585,104945
Canada,1,Total - Sex,Bengali,73125,62240,320,7640,2925
Canada,1,Total - Sex,Gujarati,108780,94150,185,5260,9180
Canada,1,Total - Sex,Hindi,110645,102265,55,4340,3985
Canada,1,Total - Sex,Kashmiri,570,540,0,20,10
Canada,1,Total - Sex,Konkani,3330,3130,25,140,35
Canada,1,Total - Sex,Marathi,8295,7670,0,430,195
Canada,1,Total - Sex,Nepali,18275,14080,485,1115,2595
Canada,1,Total - Sex,Oriya (Odia),1050,980,0,40,30
Canada,1,Total - Sex,Punjabi (Panjabi),501680,410825,400,14820,75630
Canada,1,Total - Sex,Sindhi,11860,10645,15,835,365
Canada,1,Total - Sex,Sinhala (Sinhalese),16335,15300,0,715,320
Canada,1,Total - Sex,Urdu,210820,189515,405,11220,9675
Canada,1,Total - Sex,Iranian languages,242805,192680,4270,27090,18765
Canada,1,Total - Sex,Kurdish,11700,9285,305,725,1380
Canada,1,Total - Sex,Pashto,16905,14100,130,965,1720
Canada,1,Total - Sex,Persian (Farsi),214195,169295,3835,25395,15665
Canada,1,Total - Sex,"Indo-Iranian languages, n.i.e.",5185,4305,85,350,445
Canada,1,Total - Sex,Italic (Romance) languages,1154270,706160,93755,276420,77940
Canada,1,Total - Sex,Catalan,865,400,65,380,15
Canada,1,Total - Sex,Italian,375640,236025,15940,99975,23695
Canada,1,Total - Sex,Portuguese,221540,155420,10995,33530,21595
Canada,1,Total - Sex,Romanian,96665,45690,9365,37540,4065
Canada,1,Total - Sex,Spanish,458850,268175,57355,104775,28545
Canada,1,Total - Sex,"Italic (Romance) languages, n.i.e.",720,455,35,210,20
Canada,1,Total - Sex,Japanese,43645,38290,205,2715,2435
Canada,1,Total - Sex,Kartvelian languages,1715,1330,20,150,215
Canada,1,Total - Sex,Georgian,1715,1330,20,150,215
Canada,1,Total - Sex,Korean,153425,130280,235,6495,16410
Canada,1,Total - Sex,Mongolic languages,1575,1285,35,155,100
Canada,1,Total - Sex,Mongolian,1575,1285,35,150,100
Canada,1,Total - Sex,Niger-Congo languages,91375,50050,15865,23330,2135
Canada,1,Total - Sex,Akan (Twi),13455,12255,20,990,190
Canada,1,Total - Sex,Bamanankan,1535,30,790,705,20
Canada,1,Total - Sex,Edo,1670,1590,5,65,10
Canada,1,Total - Sex,Ewe,1755,795,375,565,15
Canada,1,Total - Sex,"Fulah (Pular, Pulaar, Fulfulde)",2830,145,1260,1335,85
Canada,1,Total - Sex,Ga,920,830,0,85,10
Canada,1,Total - Sex,Ganda,1295,1210,0,70,5
Canada,1,Total - Sex,Igbo,4235,4000,0,200,30
Canada,1,Total - Sex,Lingala,3810,130,1900,1745,30
Canada,1,Total - Sex,Rundi (Kirundi),5845,310,1850,3355,335
Canada,1,Total - Sex,Kinyarwanda (Rwanda),5250,900,1005,3190,155
Canada,1,Total - Sex,Shona,3185,3035,5,125,25
Canada,1,Total - Sex,Swahili,13370,7560,1920,3285,600
Canada,1,Total - Sex,Wolof,3990,160,1660,2075,100
Canada,1,Total - Sex,Yoruba,9085,8630,50,355,50
Canada,1,Total - Sex,"Niger-Congo languages, n.i.e.",19135,8465,5025,5175,465
Canada,1,Total - Sex,Nilo-Saharan languages,5870,5130,205,305,230
Canada,1,Total - Sex,Dinka,2120,1985,0,45,90
Canada,1,Total - Sex,"Nilo-Saharan languages, n.i.e.",3750,3145,205,265,135
Canada,1,Total - Sex,Sign languages,7505,3290,565,375,3270
