Geography,Geo Code,Sex (3),Detailed Mother,Total - Knowledge of official languages,English only,French only,English and French,Neither English nor French
New Brunswick,13,Total - Sex,"Creole, n.o.s.",85,0,10,65,0
New Brunswick,13,Total - Sex,"Creole languages, n.i.e.",40,35,0,5,0
New Brunswick,13,Total - Sex,Dravidian languages,280,260,0,15,5
New Brunswick,13,Total - Sex,Kannada,25,20,0,0,0
New Brunswick,13,Total - Sex,Malayalam,40,35,0,0,0
New Brunswick,13,Total - Sex,Tamil,105,100,0,10,0
New Brunswick,13,Total - Sex,Telugu,110,105,0,0,0
New Brunswick,13,Total - Sex,"Dravidian languages, n.i.e.",0,0,0,5,0
New Brunswick,13,Total - Sex,Hmong-Mien languages,0,0,0,0,0
New Brunswick,13,Total - Sex,Indo-European languages,9325,7170,90,1640,420
New Brunswick,13,Total - Sex,Albanian,50,45,0,0,0
New Brunswick,13,Total - Sex,Armenian,25,10,0,15,5
New Brunswick,13,Total - Sex,Balto-Slavic languages,1740,1400,15,255,70
New Brunswick,13,Total - Sex,Baltic languages,55,50,0,10,0
New Brunswick,13,Total - Sex,Latvian,25,20,0,5,0
New Brunswick,13,Total - Sex,Lithuanian,30,25,0,5,0
New Brunswick,13,Total - Sex,Slavic languages,1685,1355,15,245,70
New Brunswick,13,Total - Sex,Belarusan,5,5,0,0,0
New Brunswick,13,Total - Sex,Bosnian,50,45,0,0,5
New Brunswick,13,Total - Sex,Bulgarian,20,15,0,5,0
New Brunswick,13,Total - Sex,Croatian,75,65,0,15,0
New Brunswick,13,Total - Sex,Czech,55,35,0,15,0
New Brunswick,13,Total - Sex,Macedonian,15,15,0,0,0
New Brunswick,13,Total - Sex,Polish,230,180,0,50,0
New Brunswick,13,Total - Sex,Russian,880,715,10,105,50
New Brunswick,13,Total - Sex,Serbian,105,85,5,15,5
New Brunswick,13,Total - Sex,Serbo-Croatian,35,30,0,10,0
New Brunswick,13,Total - Sex,Slovak,30,15,0,5,0
New Brunswick,13,Total - Sex,Slovene (Slovenian),15,15,0,0,0
New Brunswick,13,Total - Sex,Ukrainian,170,135,0,25,15
New Brunswick,13,Total - Sex,"Slavic languages, n.i.e.",0,0,0,0,0
New Brunswick,13,Total - Sex,Celtic languages,30,20,0,10,5
New Brunswick,13,Total - Sex,Scottish Gaelic,15,10,0,5,5
New Brunswick,13,Total - Sex,Welsh,10,10,0,0,0
New Brunswick,13,Total - Sex,"Celtic languages, n.i.e.",0,0,0,0,0
New Brunswick,13,Total - Sex,Germanic languages,2875,2335,5,510,25
New Brunswick,13,Total - Sex,Afrikaans,50,45,0,5,0
New Brunswick,13,Total - Sex,Danish,125,110,0,15,0
New Brunswick,13,Total - Sex,Dutch,885,730,5,155,0
New Brunswick,13,Total - Sex,Frisian,35,35,0,5,0
New Brunswick,13,Total - Sex,German,1650,1330,5,290,25
New Brunswick,13,Total - Sex,Icelandic,5,5,0,0,0
New Brunswick,13,Total - Sex,Norwegian,40,35,0,0,0
New Brunswick,13,Total - Sex,Swedish,45,30,0,20,0
New Brunswick,13,Total - Sex,Vlaams (Flemish),20,10,0,10,0
New Brunswick,13,Total - Sex,Yiddish,10,10,0,0,0
New Brunswick,13,Total - Sex,"Germanic languages, n.i.e.",5,0,0,5,0
New Brunswick,13,Total - Sex,Greek,145,120,0,25,5
New Brunswick,13,Total - Sex,Indo-Iranian languages,1850,1570,5,155,125
New Brunswick,13,Total - Sex,Indo-Aryan languages,1175,1030,0,90,60
New Brunswick,13,Total - Sex,Bengali,210,190,0,15,5
New Brunswick,13,Total - Sex,Gujarati,75,65,0,5,0
New Brunswick,13,Total - Sex,Hindi,230,205,0,20,5
New Brunswick,13,Total - Sex,Kashmiri,0,0,0,0,0
New Brunswick,13,Total - Sex,Konkani,10,10,0,0,0
New Brunswick,13,Total - Sex,Marathi,50,45,0,5,0
New Brunswick,13,Total - Sex,Nepali,185,145,0,10,40
New Brunswick,13,Total - Sex,Oriya (Odia),5,5,0,0,0
New Brunswick,13,Total - Sex,Punjabi (Panjabi),125,105,0,10,10
New Brunswick,13,Total - Sex,Sindhi,25,20,0,5,5
New Brunswick,13,Total - Sex,Sinhala (Sinhalese),30,30,0,0,0
New Brunswick,13,Total - Sex,Urdu,245,215,0,20,5
New Brunswick,13,Total - Sex,Iranian languages,655,525,5,65,65
New Brunswick,13,Total - Sex,Kurdish,50,15,0,0,40
New Brunswick,13,Total - Sex,Pashto,25,20,0,5,0
New Brunswick,13,Total - Sex,Persian (Farsi),580,495,0,65,25
New Brunswick,13,Total - Sex,"Indo-Iranian languages, n.i.e.",15,15,0,0,0
New Brunswick,13,Total - Sex,Italic (Romance) languages,2610,1665,65,690,190
New Brunswick,13,Total - Sex,Catalan,0,0,0,0,0
New Brunswick,13,Total - Sex,Italian,400,215,5,170,10
New Brunswick,13,Total - Sex,Portuguese,265,185,5,65,5
New Brunswick,13,Total - Sex,Romanian,485,300,25,130,30
New Brunswick,13,Total - Sex,Spanish,1460,960,30,325,140
New Brunswick,13,Total - Sex,"Italic (Romance) languages, n.i.e.",5,0,0,0,0
New Brunswick,13,Total - Sex,Japanese,110,85,0,20,5
New Brunswick,13,Total - Sex,Kartvelian languages,0,0,0,0,0
New Brunswick,13,Total - Sex,Georgian,0,0,0,0,0
New Brunswick,13,Total - Sex,Korean,1545,1290,0,175,75
New Brunswick,13,Total - Sex,Mongolic languages,0,5,0,0,0
New Brunswick,13,Total - Sex,Mongolian,5,5,0,0,0
New Brunswick,13,Total - Sex,Niger-Congo languages,695,230,170,275,15
New Brunswick,13,Total - Sex,Akan (Twi),25,20,0,5,0
New Brunswick,13,Total - Sex,Bamanankan,60,5,30,30,0
New Brunswick,13,Total - Sex,Edo,0,0,0,0,0
New Brunswick,13,Total - Sex,Ewe,5,5,0,0,0
New Brunswick,13,Total - Sex,"Fulah (Pular, Pulaar, Fulfulde)",45,0,15,30,0
New Brunswick,13,Total - Sex,Ga,10,5,0,0,0
New Brunswick,13,Total - Sex,Ganda,5,5,0,0,0
New Brunswick,13,Total - Sex,Igbo,30,30,0,5,0
New Brunswick,13,Total - Sex,Lingala,25,0,15,15,0
New Brunswick,13,Total - Sex,Rundi (Kirundi),50,10,0,30,5
New Brunswick,13,Total - Sex,Kinyarwanda (Rwanda),40,0,5,30,0
New Brunswick,13,Total - Sex,Shona,20,20,0,0,0
New Brunswick,13,Total - Sex,Swahili,130,30,35,60,5
New Brunswick,13,Total - Sex,Wolof,25,0,5,20,0
New Brunswick,13,Total - Sex,Yoruba,30,30,0,5,0
New Brunswick,13,Total - Sex,"Niger-Congo languages, n.i.e.",195,65,60,55,5
New Brunswick,13,Total - Sex,Nilo-Saharan languages,0,5,0,0,0
New Brunswick,13,Total - Sex,Dinka,5,0,0,0,0
New Brunswick,13,Total - Sex,"Nilo-Saharan languages, n.i.e.",0,0,0,0,0
New Brunswick,13,Total - Sex,Sign languages,140,65,5,10,60
New Brunswick,13,Total - Sex,American Sign Language,40,30,0,5,15
New Brunswick,13,Total - Sex,Quebec Sign Language,0,0,0,5,0
New Brunswick,13,Total - Sex,"Sign languages, n.i.e",95,35,5,10,45
New Brunswick,13,Total - Sex,Sino-Tibetan languages,3115,2535,15,165,400
New Brunswick,13,Total - Sex,Chinese languages,3085,2505,15,160,405
New Brunswick,13,Total - Sex,Cantonese,440,330,5,50,55
New Brunswick,13,Total - Sex,Hakka,15,15,0,0,0
