Geography,Geo Code,Sex (3),Detailed Mother,Total - Knowledge of official languages,English only,French only,English and French,Neither English nor French
Nova Scotia,12,Total - Sex,"Slavic languages, n.i.e.",10,5,0,0,0
Nova Scotia,12,Total - Sex,Celtic languages,180,160,0,15,5
Nova Scotia,12,Total - Sex,Scottish Gaelic,145,130,0,10,5
Nova Scotia,12,Total - Sex,Welsh,30,25,0,5,0
Nova Scotia,12,Total - Sex,"Celtic languages, n.i.e.",10,5,0,5,0
Nova Scotia,12,Total - Sex,Germanic languages,5695,4830,0,755,105
Nova Scotia,12,Total - Sex,Afrikaans,120,110,0,10,0
Nova Scotia,12,Total - Sex,Danish,165,145,0,20,0
Nova Scotia,12,Total - Sex,Dutch,1620,1440,0,175,0
Nova Scotia,12,Total - Sex,Frisian,30,35,0,5,0
Nova Scotia,12,Total - Sex,German,3430,2845,0,480,110
Nova Scotia,12,Total - Sex,Icelandic,40,30,0,10,0
Nova Scotia,12,Total - Sex,Norwegian,110,95,0,15,0
Nova Scotia,12,Total - Sex,Swedish,110,95,5,15,0
Nova Scotia,12,Total - Sex,Vlaams (Flemish),25,15,0,15,0
Nova Scotia,12,Total - Sex,Yiddish,20,10,0,5,0
Nova Scotia,12,Total - Sex,"Germanic languages, n.i.e.",20,10,0,10,0
Nova Scotia,12,Total - Sex,Greek,760,660,0,70,30
Nova Scotia,12,Total - Sex,Indo-Iranian languages,4835,4335,5,190,310
Nova Scotia,12,Total - Sex,Indo-Aryan languages,3385,3075,0,95,210
Nova Scotia,12,Total - Sex,Bengali,480,450,0,15,5
Nova Scotia,12,Total - Sex,Gujarati,195,190,0,5,0
Nova Scotia,12,Total - Sex,Hindi,750,715,0,20,10
Nova Scotia,12,Total - Sex,Kashmiri,10,10,0,0,0
Nova Scotia,12,Total - Sex,Konkani,5,5,0,0,0
Nova Scotia,12,Total - Sex,Marathi,70,70,0,0,0
Nova Scotia,12,Total - Sex,Nepali,530,375,0,0,155
Nova Scotia,12,Total - Sex,Oriya (Odia),10,5,0,0,0
Nova Scotia,12,Total - Sex,Punjabi (Panjabi),580,550,0,15,15
Nova Scotia,12,Total - Sex,Sindhi,20,15,0,5,0
Nova Scotia,12,Total - Sex,Sinhala (Sinhalese),165,155,0,5,5
Nova Scotia,12,Total - Sex,Urdu,575,525,0,25,25
Nova Scotia,12,Total - Sex,Iranian languages,1425,1240,0,95,95
Nova Scotia,12,Total - Sex,Kurdish,115,90,0,5,15
Nova Scotia,12,Total - Sex,Pashto,80,70,0,5,5
Nova Scotia,12,Total - Sex,Persian (Farsi),1235,1075,0,80,70
Nova Scotia,12,Total - Sex,"Indo-Iranian languages, n.i.e.",25,20,0,0,0
Nova Scotia,12,Total - Sex,Italic (Romance) languages,3335,2590,5,620,115
Nova Scotia,12,Total - Sex,Catalan,15,5,0,5,5
Nova Scotia,12,Total - Sex,Italian,745,570,0,155,15
Nova Scotia,12,Total - Sex,Portuguese,515,430,0,70,20
Nova Scotia,12,Total - Sex,Romanian,225,145,0,75,5
Nova Scotia,12,Total - Sex,Spanish,1830,1440,5,310,80
Nova Scotia,12,Total - Sex,"Italic (Romance) languages, n.i.e.",5,0,0,0,0
Nova Scotia,12,Total - Sex,Japanese,365,335,0,15,10
Nova Scotia,12,Total - Sex,Kartvelian languages,5,5,0,0,0
Nova Scotia,12,Total - Sex,Georgian,0,0,0,0,0
Nova Scotia,12,Total - Sex,Korean,1095,990,0,45,60
Nova Scotia,12,Total - Sex,Mongolic languages,0,0,0,0,0
Nova Scotia,12,Total - Sex,Mongolian,5,5,0,0,0
Nova Scotia,12,Total - Sex,Niger-Congo languages,630,480,10,110,25
Nova Scotia,12,Total - Sex,Akan (Twi),40,40,0,5,0
Nova Scotia,12,Total - Sex,Bamanankan,15,0,0,15,0
Nova Scotia,12,Total - Sex,Edo,5,5,0,0,0
Nova Scotia,12,Total - Sex,Ewe,40,30,0,10,0
Nova Scotia,12,Total - Sex,"Fulah (Pular, Pulaar, Fulfulde)",5,5,0,5,0
Nova Scotia,12,Total - Sex,Ga,10,10,0,0,0
Nova Scotia,12,Total - Sex,Ganda,20,20,0,0,0
Nova Scotia,12,Total - Sex,Igbo,40,35,0,0,0
Nova Scotia,12,Total - Sex,Lingala,5,0,0,5,0
Nova Scotia,12,Total - Sex,Rundi (Kirundi),20,5,5,5,5
Nova Scotia,12,Total - Sex,Kinyarwanda (Rwanda),45,15,0,30,0
Nova Scotia,12,Total - Sex,Shona,25,30,0,0,0
Nova Scotia,12,Total - Sex,Swahili,135,95,5,20,20
Nova Scotia,12,Total - Sex,Wolof,5,0,0,5,0
Nova Scotia,12,Total - Sex,Yoruba,70,65,0,5,0
Nova Scotia,12,Total - Sex,"Niger-Congo languages, n.i.e.",140,125,5,15,0
Nova Scotia,12,Total - Sex,Nilo-Saharan languages,75,65,0,5,5
Nova Scotia,12,Total - Sex,Dinka,20,15,0,0,5
Nova Scotia,12,Total - Sex,"Nilo-Saharan languages, n.i.e.",55,55,0,5,0
Nova Scotia,12,Total - Sex,Sign languages,195,110,0,5,80
Nova Scotia,12,Total - Sex,American Sign Language,85,55,0,5,25
Nova Scotia,12,Total - Sex,Quebec Sign Language,0,0,0,0,0
Nova Scotia,12,Total - Sex,"Sign languages, n.i.e",110,55,0,0,50
Nova Scotia,12,Total - Sex,Sino-Tibetan languages,6665,6025,5,145,490
Nova Scotia,12,Total - Sex,Chinese languages,6635,6000,5,140,490
Nova Scotia,12,Total - Sex,Cantonese,1145,950,0,40,150
Nova Scotia,12,Total - Sex,Hakka,25,20,0,0,5
Nova Scotia,12,Total - Sex,Mandarin,4635,4265,5,85,285
Nova Scotia,12,Total - Sex,Min Dong,0,0,0,0,0
Nova Scotia,12,Total - Sex,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",120,110,0,10,0
