Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Byelorussian,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Croatian,15,10,0,0,10
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Czech,25,15,0,10,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Macedonian,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Polish,100,90,0,10,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Russian,170,160,0,0,10
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Serbian,20,15,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Serbo-Croatian,50,40,0,0,10
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Slovak,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Slovenian,0,10,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Ukrainian,45,30,0,10,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,"      Slavic languages, n.i.e.",0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Baltic languages,20,25,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Latvian (Lettish),15,15,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Lithuanian,10,10,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Finno-Ugric languages,85,80,0,15,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Estonian,10,10,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Finnish,10,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Hungarian,70,60,0,10,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Greek,100,65,0,10,25
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Armenian,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Turkic languages,10,10,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Turkish,10,15,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,"      Turkic languages, n.i.e.",0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Semitic languages,155,115,0,20,10
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Amharic,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Arabic,150,115,0,20,15
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Hebrew,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Maltese,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Somali,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Tingringa,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,"      Semitic languages, n.i.e.",0,10,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Indo-Iranian languages,245,240,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Bengali,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Gujarati,55,50,0,10,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Hindi,35,30,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Konkani,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Kurdish,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Marathi,10,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Pashto,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Persian (Farsi),30,30,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Punjabi,95,95,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Sindhi,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Sinhalese,0,10,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Urdu,10,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,"      Indo-Iranian languages, n.i.e.",15,20,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Dravidian languages,210,160,0,50,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Kannada,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Malayalam,30,25,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Tamil,125,95,0,25,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Telugu,50,40,0,15,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,"      Dravidian languages, n.i.e.",0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Japanese,15,10,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Korean,0,10,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Sino-Tibetan languages,755,660,0,25,75
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Chinese,730,635,0,25,75
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,"      Sino-Tibetan languages, n.i.e.",25,25,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Tai languages,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Lao,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Thai,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Austro-Asiatic languages,105,90,10,10,10
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Khmer (Cambodian),0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Vietnamese,105,95,0,10,10
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,"      Austro-Asiatic languages, n.i.e.",0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Malayo-Polynesian languages,120,115,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Malay-Bahasa,10,10,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Tagalog (Pilipino),105,100,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,"      Malayo-Polynesian languages, n.i.e.",10,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,"    Asiatic languages, n.i.e.",0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Niger-Congo languages,15,20,0,0,0
