Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Saskatchewan (00047)   20000,Total - Sex,      Pashto,30,15,0,0,15
Saskatchewan (00047)   20000,Total - Sex,      Persian (Farsi),355,305,0,10,45
Saskatchewan (00047)   20000,Total - Sex,      Punjabi,500,405,0,10,80
Saskatchewan (00047)   20000,Total - Sex,      Sindhi,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Sinhalese,85,80,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Urdu,140,130,0,0,0
Saskatchewan (00047)   20000,Total - Sex,"      Indo-Iranian languages, n.i.e.",35,35,0,0,0
Saskatchewan (00047)   20000,Total - Sex,    Dravidian languages,390,375,0,10,10
Saskatchewan (00047)   20000,Total - Sex,      Kannada,50,50,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Malayalam,75,70,0,10,0
Saskatchewan (00047)   20000,Total - Sex,      Tamil,200,195,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Telugu,55,60,0,0,0
Saskatchewan (00047)   20000,Total - Sex,"      Dravidian languages, n.i.e.",0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,    Japanese,170,160,0,0,10
Saskatchewan (00047)   20000,Total - Sex,    Korean,235,190,0,30,15
Saskatchewan (00047)   20000,Total - Sex,    Sino-Tibetan languages,6560,5270,0,265,1030
Saskatchewan (00047)   20000,Total - Sex,      Chinese,6525,5250,0,255,1015
Saskatchewan (00047)   20000,Total - Sex,"      Sino-Tibetan languages, n.i.e.",40,20,0,10,10
Saskatchewan (00047)   20000,Total - Sex,    Tai languages,585,545,0,30,10
Saskatchewan (00047)   20000,Total - Sex,      Lao,505,465,0,30,10
Saskatchewan (00047)   20000,Total - Sex,      Thai,85,85,0,0,0
Saskatchewan (00047)   20000,Total - Sex,    Austro-Asiatic languages,1705,1355,0,60,280
Saskatchewan (00047)   20000,Total - Sex,      Khmer (Cambodian),80,40,0,0,30
Saskatchewan (00047)   20000,Total - Sex,      Vietnamese,1625,1315,10,60,245
Saskatchewan (00047)   20000,Total - Sex,"      Austro-Asiatic languages, n.i.e.",0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,    Malayo-Polynesian languages,1785,1750,0,20,20
Saskatchewan (00047)   20000,Total - Sex,      Malay-Bahasa,90,80,0,0,10
Saskatchewan (00047)   20000,Total - Sex,      Tagalog (Pilipino),1580,1545,0,15,10
Saskatchewan (00047)   20000,Total - Sex,"      Malayo-Polynesian languages, n.i.e.",120,120,0,0,0
Saskatchewan (00047)   20000,Total - Sex,"    Asiatic languages, n.i.e.",0,0,0,0,10
Saskatchewan (00047)   20000,Total - Sex,    Niger-Congo languages,380,340,0,30,15
Saskatchewan (00047)   20000,Total - Sex,      Bantu languages,105,110,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Swahili,70,70,0,0,0
Saskatchewan (00047)   20000,Total - Sex,"        Bantu languages, n.i.e.",35,35,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Twi,15,15,0,0,0
Saskatchewan (00047)   20000,Total - Sex,"      Niger-Congo languages, n.i.e.",255,215,0,30,15
Saskatchewan (00047)   20000,Total - Sex,"    African languages, n.i.e.",55,55,0,0,0
Saskatchewan (00047)   20000,Total - Sex,    Creoles,25,15,0,0,0
Saskatchewan (00047)   20000,Total - Sex,    Other languages,85,40,0,0,45
Saskatchewan (00047)   20000,Total - Sex,Multiple responses,13800,12500,0,1240,55
Saskatchewan (00047)   20000,Total - Sex,  English and French,1405,475,0,930,0
Saskatchewan (00047)   20000,Total - Sex,  English and non-official language,12135,11905,0,175,60
Saskatchewan (00047)   20000,Total - Sex,  French and non-official language,190,80,0,100,0
Saskatchewan (00047)   20000,Total - Sex,"  English, French and non-official language",70,45,0,30,0
Saskatchewan (00047)   20000,  Male,Total - Detailed Mother Tongue,483810,459195,155,22325,2130
Saskatchewan (00047)   20000,  Male,Single responses,477435,453515,150,21670,2095
Saskatchewan (00047)   20000,  Male,  English,407265,394800,0,12400,65
Saskatchewan (00047)   20000,  Male,  French,9295,1015,120,8155,0
Saskatchewan (00047)   20000,  Male,  Non-official languages,60880,57700,25,1120,2035
Saskatchewan (00047)   20000,  Male,    Aboriginal languages,14400,13330,0,75,995
Saskatchewan (00047)   20000,  Male,      Algonquian languages,11055,10445,0,65,545
Saskatchewan (00047)   20000,  Male,        Algonquin,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,        Attikamek,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,        Blackfoot,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,        Cree,10375,9790,0,55,530
Saskatchewan (00047)   20000,  Male,        Malecite,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,        Micmac,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,        Montagnais-Naskapi,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,        Ojibway,640,620,0,10,15
Saskatchewan (00047)   20000,  Male,        Oji-Cree,0,10,0,0,0
Saskatchewan (00047)   20000,  Male,"        Algonquian languages, n.i.e.",35,30,0,0,0
Saskatchewan (00047)   20000,  Male,      Athapaskan languages,3135,2670,0,10,450
Saskatchewan (00047)   20000,  Male,        Carrier,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,        Chilcotin,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,        Chipewyan,20,20,0,0,0
Saskatchewan (00047)   20000,  Male,        Dene,3115,2650,0,10,450
Saskatchewan (00047)   20000,  Male,        Dogrib,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,        Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Saskatchewan (00047)   20000,  Male,        North Slave (Hare),0,0,0,0,0
Saskatchewan (00047)   20000,  Male,        South Slave,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,"        Athapaskan languages, n.i.e.",0,0,0,0,0
Saskatchewan (00047)   20000,  Male,      Haida,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,      Iroquoian languages,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,        Mohawk,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,"        Iroquoian languages, n.i.e.",0,0,0,0,0
Saskatchewan (00047)   20000,  Male,      Kutenai,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,      Salish languages,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,        Shuswap,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,        Thompson (Ntlakapamux),0,0,0,0,0
Saskatchewan (00047)   20000,  Male,"        Salish languages, n.i.e.",0,0,0,0,0
Saskatchewan (00047)   20000,  Male,      Siouan languages,205,205,0,0,0
Saskatchewan (00047)   20000,  Male,        Dakota/Sioux,205,205,0,0,0
Saskatchewan (00047)   20000,  Male,      Tlingit,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,      Tsimshian languages,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,        Tsimshian,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,        Gitksan,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,        Nishga,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,      Wakashan languages,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,        Nootka,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,"        Wakashan languages, n.i.e.",0,0,0,0,0
Saskatchewan (00047)   20000,  Male,      Inuktitut (Eskimo),0,0,0,0,0
Saskatchewan (00047)   20000,  Male,"      Aboriginal languages, n.i.e.",10,0,0,0,0
Saskatchewan (00047)   20000,  Male,    Romance languages,1845,1630,0,190,25
Saskatchewan (00047)   20000,  Male,      Italian,450,385,0,65,0
Saskatchewan (00047)   20000,  Male,      Portuguese,165,160,0,0,0
Saskatchewan (00047)   20000,  Male,      Romanian,370,335,0,30,0
Saskatchewan (00047)   20000,  Male,      Spanish,860,750,0,100,15
Saskatchewan (00047)   20000,  Male,"      Romance languages, n.i.e.",0,0,0,0,0
Saskatchewan (00047)   20000,  Male,    Germanic languages,20315,19750,20,295,255
Saskatchewan (00047)   20000,  Male,      German,17445,16980,20,190,255
Saskatchewan (00047)   20000,  Male,      Yiddish,15,15,0,0,0
Saskatchewan (00047)   20000,  Male,      Netherlandic languages,1180,1115,0,65,0
Saskatchewan (00047)   20000,  Male,        Dutch,1090,1025,0,65,0
Saskatchewan (00047)   20000,  Male,        Flemish,85,80,0,0,0
Saskatchewan (00047)   20000,  Male,        Frisian,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,      Scandinavian languages,1565,1535,0,30,0
Saskatchewan (00047)   20000,  Male,        Danish,215,210,0,0,0
Saskatchewan (00047)   20000,  Male,        Icelandic,135,135,0,10,0
Saskatchewan (00047)   20000,  Male,        Norwegian,830,815,0,15,0
Saskatchewan (00047)   20000,  Male,        Swedish,385,380,0,10,0
Saskatchewan (00047)   20000,  Male,"      Germanic languages, n.i.e.",105,105,0,0,0
Saskatchewan (00047)   20000,  Male,    Celtic languages,40,40,0,0,0
Saskatchewan (00047)   20000,  Male,      Gaelic languages,30,30,0,0,0
Saskatchewan (00047)   20000,  Male,      Welsh,10,0,0,0,0
Saskatchewan (00047)   20000,  Male,"      Celtic languages, n.i.e.",0,0,0,0,0
Saskatchewan (00047)   20000,  Male,    Slavic languages,14180,13850,0,215,115
Saskatchewan (00047)   20000,  Male,      Bulgarian,10,10,0,0,0
Saskatchewan (00047)   20000,  Male,      Byelorussian,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,      Croatian,190,165,0,15,10
Saskatchewan (00047)   20000,  Male,      Czech,290,285,0,0,0
Saskatchewan (00047)   20000,  Male,      Macedonian,0,0,0,0,0
Saskatchewan (00047)   20000,  Male,      Polish,1615,1540,0,65,10
Saskatchewan (00047)   20000,  Male,      Russian,785,770,0,0,15
Saskatchewan (00047)   20000,  Male,      Serbian,60,55,0,0,0
