Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Lithuanian,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Finno-Ugric languages,55,45,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Estonian,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Finnish,20,15,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Hungarian,35,30,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Greek,20,15,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Armenian,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Turkic languages,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Turkish,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,"      Turkic languages, n.i.e.",0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Semitic languages,85,75,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Amharic,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Arabic,60,55,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Hebrew,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Maltese,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Somali,15,15,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Tingringa,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,"      Semitic languages, n.i.e.",10,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Indo-Iranian languages,105,90,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Bengali,10,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Gujarati,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Hindi,20,20,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Konkani,10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Kurdish,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Marathi,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Pashto,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Persian (Farsi),20,10,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Punjabi,50,45,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Sindhi,0,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Sinhalese,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Urdu,0,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,"      Indo-Iranian languages, n.i.e.",0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Dravidian languages,20,20,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Kannada,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Malayalam,0,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Tamil,15,15,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Telugu,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,"      Dravidian languages, n.i.e.",0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Japanese,15,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Korean,15,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Sino-Tibetan languages,230,185,0,15,25
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Chinese,225,180,0,15,25
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,"      Sino-Tibetan languages, n.i.e.",0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Tai languages,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Lao,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Thai,0,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Austro-Asiatic languages,150,130,0,10,20
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Khmer (Cambodian),0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Vietnamese,150,130,0,10,20
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,"      Austro-Asiatic languages, n.i.e.",0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Malayo-Polynesian languages,285,275,0,0,10
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Malay-Bahasa,0,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Tagalog (Pilipino),240,235,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,"      Malayo-Polynesian languages, n.i.e.",45,45,0,0,10
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,"    Asiatic languages, n.i.e.",0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Niger-Congo languages,15,15,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Bantu languages,10,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Swahili,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,"        Bantu languages, n.i.e.",0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Twi,0,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,"      Niger-Congo languages, n.i.e.",10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,"    African languages, n.i.e.",10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Creoles,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Other languages,15,0,0,0,10
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,Multiple responses,1005,870,0,125,10
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,  English and French,105,20,0,85,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,  English and non-official language,875,840,0,20,15
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,  French and non-official language,20,10,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,"  English, French and non-official language",10,0,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,Total - Detailed Mother Tongue,33215,29015,20,2100,2080
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,Single responses,32700,28565,20,2035,2075
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,  English,18740,17620,0,1115,10
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,  French,800,40,15,750,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,  Non-official languages,13155,10905,10,170,2070
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,    Aboriginal languages,12085,9970,10,70,2035
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Algonquian languages,105,100,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Algonquin,0,0,0,0,0
