Census Year,Boundary Type,Boundary Name,Boundary Number,Language English Only,Language English and French,Language Neither English nor French,Language French Only,Language Total,Language2 Tagalog,Language2 German,Language2 Ukrainian,Language2 Spanish,Language2 Polish,Language2 Punjabi,Language2 Portuguese,Language2 Chinese Other,Language2 Italian,Language2 All Other Languages,Language2 Russian,Language2 Hindi,Language2 Vietnamese,Language2 Cantonese,Language2 Ojibway,Language2 Arabic,Language2 Cree,Language2 Dutch,Language2 Korean,Language2 Hebrew,Language2 Mandarin,Language2 Farsi,Language2 Urdu,Language2 Greek,Language2 Amharic,Language2 Croatian,Language2 Hungarian,Language2 Yiddish,Language2 Japanese,Language2 Lao,Language2 Creoles,Language2 Serbian,Language2 Ilocano,Language2 Czech,Language2 Romanian,Language2 Gujarati,Language2 Swahili,Language2 Bosnian,Language2 Oji-Cree,Language2 Khmer,Language2 Somali,Language2 Tigrigna,Language2 Danish,Language2 Bengali,Language2 Kurdish,Language2 Serbo-Croatian,Language2 Slovak,Language2 Bisayan,Language2 Tamil,Language2 Sinhalese,Language2 Swedish,Language2 Slovenian,Language2 Malay,Language2 Flemish,Language2 Macedonian,Language2 Turkish,Language2 Finnish,Language2 Lithuanian,Language2 Latvian,Language2 Malayalam,Language2 Norwegian,Language2 Bulgarian,Language2 Inuktitut,Language2 Sioux,Language2 Pashto,Language2 Taiwanese,Language2 Telugu,Language2 Twi,Language2 Estonian,Language2 Dene,Language2 Maltese,Language2 Frisian,Language2 Armenian,Language2 Blackfoot,Language2 Mohawk,Language2 Sindhi,Language2 Other Languages,Language2 Algonquin,Language2 Atikamekw,Language2 Carrier,Language2 Chilcotin,Language2 Chipewyan,Language2 Dogrib,Language2 Gitksan,Language2 Hare,Language2 Inuinnaqtun,Language2 Kutchin-Gwich-in-Loucheux,Language2 Malecite,Language2 Mikmaq,Language2 Montagnais-Naskapi,Language2 Nisgaa,Language2 Shuswap,Language2 SouthSlave,Language2 Tlingit,Language2 Nonverbal,Language2 Gaelic,Language2 Micmac,Language2 Hakka,Language2 South Slave,Language2 Total
2006,Neighbourhood,Silver Heights,2.215,"4,815",265,20,0,"5,100",140,110,95,30,35,0,0,100,20,185,0,20,10,10,0,0,10,15,0,0,0,0,25,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,715
2006,Neighbourhood,Sir John Franklin,1.626,"2,080",235,0,0,"2,320",35,40,50,35,15,0,10,0,10,125,10,0,0,0,10,0,0,0,0,15,0,0,0,10,0,10,10,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,320
2006,Neighbourhood,Southboine,2.627,"1,270",230,0,0,"1,505",10,80,10,70,10,0,10,0,10,40,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,240
2006,Neighbourhood,Southdale,5.552,"5,320","1,330",20,30,"6,705",35,255,130,50,45,115,20,10,60,400,30,55,15,40,0,0,0,45,0,0,0,0,15,30,0,10,20,0,10,0,0,10,0,0,0,10,15,0,0,0,0,0,0,0,0,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"1,120"
2006,Neighbourhood,Southland Park,5.542,850,370,0,10,"1,235",25,25,30,35,0,25,10,0,40,120,15,50,25,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,310
2006,Neighbourhood,South Point Douglas,3.123,180,45,0,0,225,20,0,0,10,0,0,0,0,0,45,10,0,0,0,0,0,15,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,75
2006,Neighbourhood,South Portage,1.161,"1,670",170,10,0,"1,860",75,40,30,40,20,15,40,25,20,415,15,15,0,20,25,25,60,0,15,0,75,10,10,10,50,0,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,720
2006,Neighbourhood,South River Heights,1.628,"2,330",245,10,0,"2,585",45,60,25,40,10,0,0,20,115,455,20,10,0,0,15,0,0,0,0,190,0,10,0,40,0,0,10,65,10,0,0,0,0,20,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,770
2006,Neighbourhood,South Tuxedo,2.645,"3,455",335,10,0,"3,790",35,115,60,80,15,75,15,60,95,610,20,90,0,0,0,0,0,10,35,165,0,0,0,35,0,0,0,155,0,0,0,15,0,0,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"1,160"
2006,Neighbourhood,Spence,1.104,"3,850",320,90,0,"4,260",615,65,35,130,55,0,65,25,40,"1,325",15,15,280,45,160,100,110,0,20,0,0,0,0,0,50,0,0,10,10,15,55,20,10,0,0,0,35,10,75,0,25,10,0,10,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"2,355"
